id,active_ingredient,brand_name,manufacturer,therapeutic_group,pharmacological_class,drug_type,strength,dosage_form,route,indication,indication_category,side_effects,pregnancy_category,controlled_substance,otc_or_rx,food_interaction,alcohol_interaction,num_ingredients,is_combination_drug
33,Azithromycin,Zimax,ACI,Antibiotic,Macrolide,Small molecule,500 mg,Tablet,Oral,Skin infection,Infectious,Vomiting,B,No,RX,0,0,1,0
34,Metformin,Obimet,Square,Antidiabetic,Biguanide,Small molecule,1000 mg,Capsule,Oral,Insulin resistance,Endocrine,Abdominal pain,B,No,RX,1,1,1,0
35,Cetirizine,Alatrol,Beximco,Antihistamine,H1 antagonist,Small molecule,10 mg,Capsule,Oral,Urticaria,General,Dry mouth,B,No,OTC,0,1,1,0
36,Ibuprofen,Advil,ACI,Analgesic,NSAID,Small molecule,200 mg,Syrup,Oral,Inflammation,General,Nausea,D,No,OTC,1,1,1,0
37,Omeprazole,Losectil,Square,Antacid,Proton pump inhibitor,Small molecule,10 mg,Capsule,IV,Peptic ulcer,Gastrointestinal,Diarrhea,C,No,OTC,1,0,1,0
38,Salbutamol,Sultolin,ACI,Bronchodilator,Beta-2 agonist,Small molecule,2 mg,Inhaler,Oral,COPD,Respiratory,Tremor,C,No,RX,0,0,1,0
39,Azithromycin,Azit,Incepta,Antibiotic,Macrolide,Small molecule,500 mg,Tablet,Oral,Infection,Infectious,Diarrhea,B,No,RX,0,0,1,0
40,Amlodipine,Norvasc,Beximco,Antihypertensive,Calcium channel blocker,Small molecule,5 mg,Capsule,Oral,Hypertension,Cardiovascular,Edema,C,No,RX,1,1,1,0
41,Omeprazole,Omepra,AstraZeneca,Antacid,Proton pump inhibitor,Small molecule,10 mg,Injection,IV,GERD,Gastrointestinal,Nausea,C,No,OTC,1,0,1,0
42,Losartan,Losacar,Beximco,Antihypertensive,ARB,Small molecule,25 mg,Tablet,Oral,Diabetic nephropathy,Cardiovascular,Hyperkalemia,D,No,RX,0,1,1,0
43,Cetirizine,Cetrizin,ACI,Antihistamine,H1 antagonist,Small molecule,5 mg,Capsule,Oral,Allergic rhinitis,General,Headache,B,No,OTC,0,1,1,0
44,Losartan,Losatin,Square,Antihypertensive,ARB,Small molecule,25 mg,Tablet,Oral,Diabetic nephropathy,Cardiovascular,Hyperkalemia,D,No,RX,0,1,1,0
45,Atorvastatin,Lipitor,Beximco,Lipid-lowering,Statin,Small molecule,40 mg,Tablet,Oral,Cardiovascular disease prevention,Cardiovascular,Diarrhea,X,No,RX,1,1,1,0
46,Amoxicillin + Clavulanate,Moxaclave,Incepta,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,1000 mg,Tablet,Oral,Respiratory infection,Infectious,Rash,B,No,RX,0,0,2,1
47,Amoxicillin + Clavulanate,Clavam,Square,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,375 mg,Tablet,Oral,Infection,Infectious,Nausea,B,No,RX,0,0,2,1
48,Paracetamol,Panadol,Renata,Analgesic,Para-aminophenol,Small molecule,1000 mg,Syrup,IV,Fever,General,Nausea,A,No,OTC,0,1,1,0
49,Amoxicillin + Clavulanate,Augmentin,GSK,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,625 mg,Tablet,Oral,Sinusitis,Infectious,Vomiting,B,No,RX,0,0,2,1
50,Insulin Glargine,Lantus,Incepta,Antidiabetic,Long-acting insulin,Biologic,100 IU/ml,Injection,Subcutaneous,Type 1 diabetes,Endocrine,Weight gain,C,No,RX,1,1,1,0
51,Insulin Glargine,Basalin,Incepta,Antidiabetic,Long-acting insulin,Biologic,300 IU/ml,Injection,Subcutaneous,Type 2 diabetes,Endocrine,Injection site reaction,C,No,RX,1,1,1,0
52,Amlodipine,Amlogard,Pfizer,Antihypertensive,Calcium channel blocker,Small molecule,10 mg,Capsule,Oral,Angina,Cardiovascular,Dizziness,C,No,RX,1,1,1,0
53,Ciprofloxacin,Ciprosin,Square,Antibiotic,Fluoroquinolone,Small molecule,500 mg,Syrup,Oral,Respiratory infection,Infectious,Diarrhea,C,No,RX,1,0,1,0
54,Losartan,Losatin,Novartis,Antihypertensive,ARB,Small molecule,50 mg,Tablet,Oral,Heart failure,Cardiovascular,Cough,D,No,RX,0,1,1,0
55,Paracetamol,Tylenol,ACI,Analgesic,Para-aminophenol,Small molecule,125 mg/5ml,Capsule,IV,Pain,General,Nausea,A,No,OTC,0,1,1,0
56,Losartan,Losartan-MSD,MSD,Antihypertensive,ARB,Small molecule,50 mg,Tablet,Oral,Diabetic nephropathy,Cardiovascular,Hyperkalemia,D,No,RX,0,1,1,0
57,Omeprazole,Prilosec,ACI,Antacid,Proton pump inhibitor,Small molecule,40 mg,Injection,Oral,Peptic ulcer,Gastrointestinal,Abdominal pain,C,No,OTC,1,0,1,0
58,Ciprofloxacin,Cipro,Incepta,Antibiotic,Fluoroquinolone,Small molecule,500 mg,Injection,Oral,Urinary tract infection,Infectious,Headache,C,No,RX,1,0,1,0
59,Amlodipine,Amlogard,Beximco,Antihypertensive,Calcium channel blocker,Small molecule,2.5 mg,Capsule,Oral,Coronary artery disease,Cardiovascular,Edema,C,No,RX,1,1,1,0
60,Amoxicillin + Clavulanate,Augmentin,GSK,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,375 mg,Tablet,Oral,Infection,Infectious,Nausea,B,No,RX,0,0,2,1
61,Paracetamol,Tylenol,Renata,Analgesic,Para-aminophenol,Small molecule,1000 mg,Capsule,IV,Fever,General,Rash,A,No,OTC,0,1,1,0
62,Amlodipine,Norvasc,Pfizer,Antihypertensive,Calcium channel blocker,Small molecule,5 mg,Capsule,Oral,Coronary artery disease,Cardiovascular,Headache,C,No,RX,1,1,1,0
63,Cetirizine,Cetrizin,Beximco,Antihistamine,H1 antagonist,Small molecule,5 mg,Syrup,Oral,Allergic rhinitis,General,Headache,B,No,OTC,0,1,1,0
64,Metformin,Glycomet,Incepta,Antidiabetic,Biguanide,Small molecule,500 mg,Capsule,Oral,Insulin resistance,Endocrine,Diarrhea,B,No,RX,1,1,1,0
65,Lisinopril,Lisinace,Renata,Antihypertensive,ACE inhibitor,Small molecule,10 mg,Tablet,Oral,Heart failure,Cardiovascular,Dizziness,D,No,RX,0,1,1,0
66,Insulin Glargine,Toujeo,Novo Nordisk,Antidiabetic,Long-acting insulin,Biologic,300 IU/ml,Injection,Subcutaneous,Diabetes,Endocrine,Injection site reaction,C,No,RX,1,1,1,0
67,Paracetamol,Napa,ACI,Analgesic,Para-aminophenol,Small molecule,125 mg/5ml,Capsule,IV,Fever,General,Hepatotoxicity (overdose),A,No,OTC,0,1,1,0
68,Cetirizine,Alatrol,Incepta,Antihistamine,H1 antagonist,Small molecule,10 mg,Capsule,Oral,Allergic rhinitis,General,Fatigue,B,No,OTC,0,1,1,0
69,Salbutamol,Ventolin,GSK,Bronchodilator,Beta-2 agonist,Small molecule,4 mg,Tablet,Inhalation,Bronchospasm,Respiratory,Palpitation,C,No,RX,0,0,1,0
70,Paracetamol,Renova,Renata,Analgesic,Para-aminophenol,Small molecule,125 mg/5ml,Capsule,IV,Fever,General,Hepatotoxicity (overdose),A,No,OTC,0,1,1,0
71,Amlodipine,Amdocal,Square,Antihypertensive,Calcium channel blocker,Small molecule,2.5 mg,Tablet,Oral,Hypertension,Cardiovascular,Headache,C,No,RX,1,1,1,0
72,Lisinopril,Listril,Square,Antihypertensive,ACE inhibitor,Small molecule,20 mg,Tablet,Oral,Hypertension,Cardiovascular,Hyperkalemia,D,No,RX,0,1,1,0
73,Ciprofloxacin,Bacquinor,Bayer,Antibiotic,Fluoroquinolone,Small molecule,750 mg,Syrup,Oral,Urinary tract infection,Infectious,Nausea,C,No,RX,1,0,1,0
74,Lisinopril,Prinivil,Renata,Antihypertensive,ACE inhibitor,Small molecule,5 mg,Tablet,Oral,Heart failure,Cardiovascular,Headache,D,No,RX,0,1,1,0
75,Ciprofloxacin,Cipro,Incepta,Antibiotic,Fluoroquinolone,Small molecule,500 mg,Tablet,Oral,Urinary tract infection,Infectious,Dizziness,C,No,RX,1,0,1,0
76,Ciprofloxacin,Ciprosin,Incepta,Antibiotic,Fluoroquinolone,Small molecule,250 mg,Tablet,Oral,Respiratory infection,Infectious,Dizziness,C,No,RX,1,0,1,0
77,Paracetamol,Panadol,ACI,Analgesic,Para-aminophenol,Small molecule,250 mg/5ml,Capsule,Oral,Pain,General,Rash,A,No,OTC,0,1,1,0
78,Amoxicillin + Clavulanate,Augmentin,Square,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,375 mg,Tablet,Oral,Infection,Infectious,Diarrhea,B,No,RX,0,0,2,1
79,Lisinopril,Listril,Square,Antihypertensive,ACE inhibitor,Small molecule,5 mg,Tablet,Oral,Post-MI,Cardiovascular,Hyperkalemia,D,No,RX,0,1,1,0
80,Amoxicillin + Clavulanate,Moxaclave,Beximco,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,1000 mg,Tablet,Oral,Infection,Infectious,Nausea,B,No,RX,0,0,2,1
81,Fluoxetine,Flutin,Eli Lilly,Antidepressant,SSRI,Small molecule,10 mg,Capsule,Oral,Panic disorder,Neurological,Headache,C,No,RX,0,1,1,0
82,Paracetamol,Ace,Incepta,Analgesic,Para-aminophenol,Small molecule,125 mg/5ml,Syrup,IV,Fever,General,Rash,A,No,OTC,0,1,1,0
83,Lisinopril,Lisinace,Square,Antihypertensive,ACE inhibitor,Small molecule,5 mg,Tablet,Oral,Post-MI,Cardiovascular,Dry cough,D,No,RX,0,1,1,0
84,Salbutamol,Sultolin,Incepta,Bronchodilator,Beta-2 agonist,Small molecule,100 mcg/dose,Inhaler,Inhalation,COPD,Respiratory,Palpitation,C,No,RX,0,0,1,0
85,Cetirizine,Rinil,ACI,Antihistamine,H1 antagonist,Small molecule,10 mg,Syrup,Oral,Allergic rhinitis,General,Drowsiness,B,No,OTC,0,1,1,0
86,Losartan,Losartan-MSD,Beximco,Antihypertensive,ARB,Small molecule,100 mg,Tablet,Oral,Heart failure,Cardiovascular,Dizziness,D,No,RX,0,1,1,0
87,Ibuprofen,Advil,Renata,Analgesic,NSAID,Small molecule,600 mg,Tablet,Oral,Fever,General,Nausea,D,No,OTC,1,1,1,0
88,Omeprazole,Seclo,ACI,Antacid,Proton pump inhibitor,Small molecule,10 mg,Capsule,IV,Acid reflux,Gastrointestinal,Diarrhea,C,No,OTC,1,0,1,0
89,Insulin Glargine,Toujeo,Sanofi,Antidiabetic,Long-acting insulin,Biologic,100 IU/ml,Injection,Subcutaneous,Type 1 diabetes,Endocrine,Weight gain,C,No,RX,1,1,1,0
90,Cetirizine,Alatrol,Beximco,Antihistamine,H1 antagonist,Small molecule,10 mg,Tablet,Oral,Urticaria,General,Headache,B,No,OTC,0,1,1,0
91,Fluoxetine,Depzac,Renata,Antidepressant,SSRI,Small molecule,10 mg,Tablet,Oral,OCD,Neurological,Insomnia,C,No,RX,0,1,1,0
92,Amlodipine,Amlogard,Beximco,Antihypertensive,Calcium channel blocker,Small molecule,10 mg,Capsule,Oral,Angina,Cardiovascular,Dizziness,C,No,RX,1,1,1,0
93,Paracetamol,Renova,Incepta,Analgesic,Para-aminophenol,Small molecule,125 mg/5ml,Capsule,IV,Fever,General,Nausea,A,No,OTC,0,1,1,0
94,Omeprazole,Seclo,Square,Antacid,Proton pump inhibitor,Small molecule,20 mg,Capsule,IV,Acid reflux,Gastrointestinal,Abdominal pain,C,No,OTC,1,0,1,0
95,Amoxicillin + Clavulanate,Moxaclave,Incepta,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,375 mg,Tablet,Oral,Infection,Infectious,Vomiting,B,No,RX,0,0,2,1
96,Metformin,Formet,Incepta,Antidiabetic,Biguanide,Small molecule,1000 mg,Tablet,Oral,Insulin resistance,Endocrine,Vomiting,B,No,RX,1,1,1,0
97,Amoxicillin + Clavulanate,Augmentin,Beximco,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,1000 mg,Syrup,Oral,Sinusitis,Infectious,Vomiting,B,No,RX,0,0,2,1
98,Azithromycin,Zimax,Square,Antibiotic,Macrolide,Small molecule,200 mg/5ml,Tablet,Oral,Infection,Infectious,Nausea,B,No,RX,0,0,1,0
99,Lisinopril,Lisinace,AstraZeneca,Antihypertensive,ACE inhibitor,Small molecule,5 mg,Tablet,Oral,Heart failure,Cardiovascular,Hyperkalemia,D,No,RX,0,1,1,0
100,Ciprofloxacin,Ciprosin,Renata,Antibiotic,Fluoroquinolone,Small molecule,750 mg,Syrup,Oral,Infection,Infectious,Diarrhea,C,No,RX,1,0,1,0
101,Omeprazole,Losectil,ACI,Antacid,Proton pump inhibitor,Small molecule,40 mg,Capsule,Oral,GERD,Gastrointestinal,Nausea,C,No,OTC,1,0,1,0
102,Amoxicillin + Clavulanate,Augmentin,Incepta,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,625 mg,Tablet,Oral,Respiratory infection,Infectious,Rash,B,No,RX,0,0,2,1
103,Lisinopril,Lisinace,Renata,Antihypertensive,ACE inhibitor,Small molecule,10 mg,Tablet,Oral,Heart failure,Cardiovascular,Dry cough,D,No,RX,0,1,1,0
104,Omeprazole,Omepra,Incepta,Antacid,Proton pump inhibitor,Small molecule,40 mg,Tablet,Oral,Acid reflux,Gastrointestinal,Abdominal pain,C,No,OTC,1,0,1,0
105,Omeprazole,Prilosec,ACI,Antacid,Proton pump inhibitor,Small molecule,20 mg,Capsule,IV,Peptic ulcer,Gastrointestinal,Diarrhea,C,No,OTC,1,0,1,0
106,Amoxicillin + Clavulanate,Augmentin,GSK,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,625 mg,Syrup,Oral,Sinusitis,Infectious,Rash,B,No,RX,0,0,2,1
107,Insulin Glargine,Glaritus,Beximco,Antidiabetic,Long-acting insulin,Biologic,300 IU/ml,Injection,Subcutaneous,Diabetes,Endocrine,Weight gain,C,No,RX,1,1,1,0
108,Fluoxetine,Flutin,Beximco,Antidepressant,SSRI,Small molecule,20 mg,Tablet,Oral,Depression,Neurological,Dizziness,C,No,RX,0,1,1,0
109,Salbutamol,Sultolin,Incepta,Bronchodilator,Beta-2 agonist,Small molecule,100 mcg/dose,Syrup,Oral,COPD,Respiratory,Tremor,C,No,RX,0,0,1,0
110,Paracetamol,Ace,ACI,Analgesic,Para-aminophenol,Small molecule,250 mg/5ml,Syrup,IV,Pain,General,Hepatotoxicity (overdose),A,No,OTC,0,1,1,0
111,Metformin,Obimet,Renata,Antidiabetic,Biguanide,Small molecule,500 mg,Tablet,Oral,Insulin resistance,Endocrine,Abdominal pain,B,No,RX,1,1,1,0
112,Metformin,Glucophage,ACI,Antidiabetic,Biguanide,Small molecule,850 mg,Tablet,Oral,Diabetes,Endocrine,Diarrhea,B,No,RX,1,1,1,0
113,Ibuprofen,Profen,Incepta,Analgesic,NSAID,Small molecule,400 mg,Syrup,Oral,Fever,General,Dizziness,D,No,OTC,1,1,1,0
114,Lisinopril,Lisinace,Merck,Antihypertensive,ACE inhibitor,Small molecule,10 mg,Tablet,Oral,Heart failure,Cardiovascular,Dry cough,D,No,RX,0,1,1,0
115,Metformin,Glycomet,ACI,Antidiabetic,Biguanide,Small molecule,500 mg,Tablet,Oral,Diabetes,Endocrine,Diarrhea,B,No,RX,1,1,1,0
116,Salbutamol,Brodil,Square,Bronchodilator,Beta-2 agonist,Small molecule,2 mg,Inhaler,Oral,Asthma,Respiratory,Palpitation,C,No,RX,0,0,1,0
117,Ibuprofen,Brufen,Square,Analgesic,NSAID,Small molecule,400 mg,Tablet,Oral,Inflammation,General,Headache,D,No,OTC,1,1,1,0
118,Amoxicillin + Clavulanate,Augmentin,Square,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,375 mg,Syrup,Oral,Sinusitis,Infectious,Rash,B,No,RX,0,0,2,1
119,Amlodipine,Norvasc,Square,Antihypertensive,Calcium channel blocker,Small molecule,10 mg,Capsule,Oral,Coronary artery disease,Cardiovascular,Edema,C,No,RX,1,1,1,0
120,Salbutamol,Brodil,GSK,Bronchodilator,Beta-2 agonist,Small molecule,4 mg,Inhaler,Oral,Bronchospasm,Respiratory,Tremor,C,No,RX,0,0,1,0
121,Amoxicillin + Clavulanate,Augmentin,GSK,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,625 mg,Syrup,Oral,Sinusitis,Infectious,Diarrhea,B,No,RX,0,0,2,1
122,Cetirizine,Zyrtec,ACI,Antihistamine,H1 antagonist,Small molecule,5 mg,Tablet,Oral,Urticaria,General,Headache,B,No,OTC,0,1,1,0
123,Paracetamol,Renova,Renata,Analgesic,Para-aminophenol,Small molecule,250 mg/5ml,Tablet,Oral,Pain,General,Nausea,A,No,OTC,0,1,1,0
124,Losartan,Losatin,Novartis,Antihypertensive,ARB,Small molecule,50 mg,Tablet,Oral,Heart failure,Cardiovascular,Cough,D,No,RX,0,1,1,0
125,Ibuprofen,Brufen,Renata,Analgesic,NSAID,Small molecule,200 mg,Tablet,Oral,Pain,General,Dizziness,D,No,OTC,1,1,1,0
126,Salbutamol,Sultolin,GSK,Bronchodilator,Beta-2 agonist,Small molecule,100 mcg/dose,Inhaler,Inhalation,Bronchospasm,Respiratory,Tremor,C,No,RX,0,0,1,0
127,Fluoxetine,Depzac,Eli Lilly,Antidepressant,SSRI,Small molecule,20 mg,Tablet,Oral,Depression,Neurological,Insomnia,C,No,RX,0,1,1,0
128,Azithromycin,Zithromax,Incepta,Antibiotic,Macrolide,Small molecule,200 mg/5ml,Capsule,Oral,Respiratory infection,Infectious,Diarrhea,B,No,RX,0,0,1,0
129,Omeprazole,Omepra,AstraZeneca,Antacid,Proton pump inhibitor,Small molecule,10 mg,Tablet,IV,GERD,Gastrointestinal,Nausea,C,No,OTC,1,0,1,0
130,Fluoxetine,Flutin,Renata,Antidepressant,SSRI,Small molecule,10 mg,Capsule,Oral,Depression,Neurological,Insomnia,C,No,RX,0,1,1,0
131,Paracetamol,Ace,Beximco,Analgesic,Para-aminophenol,Small molecule,125 mg/5ml,Capsule,IV,Pain,General,Rash,A,No,OTC,0,1,1,0
132,Salbutamol,Ventolin,GSK,Bronchodilator,Beta-2 agonist,Small molecule,4 mg,Syrup,Inhalation,COPD,Respiratory,Tachycardia,C,No,RX,0,0,1,0
133,Azithromycin,Zithromax,Incepta,Antibiotic,Macrolide,Small molecule,500 mg,Tablet,Oral,Skin infection,Infectious,Vomiting,B,No,RX,0,0,1,0
134,Azithromycin,Azit,Pfizer,Antibiotic,Macrolide,Small molecule,250 mg,Tablet,Oral,Infection,Infectious,Diarrhea,B,No,RX,0,0,1,0
135,Ibuprofen,Advil,Square,Analgesic,NSAID,Small molecule,400 mg,Syrup,Oral,Pain,General,Gastric irritation,D,No,OTC,1,1,1,0
136,Atorvastatin,Atocor,Pfizer,Lipid-lowering,Statin,Small molecule,80 mg,Tablet,Oral,Hypercholesterolemia,Cardiovascular,Diarrhea,X,No,RX,1,1,1,0
137,Omeprazole,Seclo,ACI,Antacid,Proton pump inhibitor,Small molecule,40 mg,Injection,IV,GERD,Gastrointestinal,Headache,C,No,OTC,1,0,1,0
138,Ibuprofen,Brufen,Renata,Analgesic,NSAID,Small molecule,600 mg,Capsule,Oral,Fever,General,Nausea,D,No,OTC,1,1,1,0
139,Omeprazole,Seclo,AstraZeneca,Antacid,Proton pump inhibitor,Small molecule,20 mg,Tablet,IV,Peptic ulcer,Gastrointestinal,Nausea,C,No,OTC,1,0,1,0
140,Atorvastatin,Lipitor,Square,Lipid-lowering,Statin,Small molecule,40 mg,Tablet,Oral,Hypercholesterolemia,Cardiovascular,Myalgia,X,No,RX,1,1,1,0
141,Azithromycin,Azithrin,Square,Antibiotic,Macrolide,Small molecule,200 mg/5ml,Tablet,Oral,Skin infection,Infectious,Vomiting,B,No,RX,0,0,1,0
142,Amoxicillin + Clavulanate,Clavam,Beximco,Antibiotic,Beta-lactam + Beta-lactamase inhibitor,Small molecule,375 mg,Syrup,Oral,Respiratory infection,Infectious,Vomiting,B,No,RX,0,0,2,1
143,Omeprazole,Prilosec,Incepta,Antacid,Proton pump inhibitor,Small molecule,40 mg,Capsule,IV,GERD,Gastrointestinal,Abdominal pain,C,No,OTC,1,0,1,0
144,Ibuprofen,Nurofen,Square,Analgesic,NSAID,Small molecule,600 mg,Tablet,Oral,Fever,General,Nausea,D,No,OTC,1,1,1,0
145,Ibuprofen,Profen,Incepta,Analgesic,NSAID,Small molecule,200 mg,Capsule,Oral,Fever,General,Nausea,D,No,OTC,1,1,1,0
146,Azithromycin,Azit,ACI,Antibiotic,Macrolide,Small molecule,200 mg/5ml,Syrup,Oral,Respiratory infection,Infectious,Abdominal pain,B,No,RX,0,0,1,0
147,Losartan,Losatin,MSD,Antihypertensive,ARB,Small molecule,100 mg,Tablet,Oral,Heart failure,Cardiovascular,Dizziness,D,No,RX,0,1,1,0
148,Amlodipine,Amcard,Beximco,Antihypertensive,Calcium channel blocker,Small molecule,2.5 mg,Tablet,Oral,Angina,Cardiovascular,Flushing,C,No,RX,1,1,1,0
149,Amlodipine,Amlogard,Beximco,Antihypertensive,Calcium channel blocker,Small molecule,2.5 mg,Tablet,Oral,Coronary artery disease,Cardiovascular,Dizziness,C,No,RX,1,1,1,0
150,Amlodipine,Amcard,Square,Antihypertensive,Calcium channel blocker,Small molecule,5 mg,Capsule,Oral,Hypertension,Cardiovascular,Headache,C,No,RX,1,1,1,0
151,Amlodipine,Norvasc,Pfizer,Antihypertensive,Calcium channel blocker,Small molecule,10 mg,Capsule,Oral,Coronary artery disease,Cardiovascular,Flushing,C,No,RX,1,1,1,0
152,Ciprofloxacin,Ciprosin,Renata,Antibiotic,Fluoroquinolone,Small molecule,250 mg,Injection,IV,Respiratory infection,Infectious,Diarrhea,C,No,RX,1,0,1,0
